@relation MITBIH
@attribute x integer
@attribute class {N,L,R,A,V}

@data
951,A
952,A
952,A
951,A
950,A
953,A
958,A
959,A
959,A
957,A
956,A
961,A
964,A
964,A
966,A
965,A
966,A
967,A
969,A
973,A
974,A
974,A
971,A
973,A
975,A
978,N
975,N
975,N
973,N
973,N
976,N
974,N
973,N
975,V
973,V
974,V
974,V
971,L
972,L
972,L
971,V
970,V
971,A
972,A
969,A
968,A
966,A
969,A
970,A
972,A
968,A
968,A
967,A
969,A
969,A
971,A
970,A
967,A
966,A
968,A
969,A
967,L
968,L
964,L
964,L
963,N
965,N
964,N
962,N
962,V
963,V
965,V
967,N
967,N
966,N
965,N
962,N
966,N
965,N
964,N
963,N
962,N
959,N
962,N
964,N
966,N
962,N
959,N
958,N
961,N
964,N
963,N
962,N
960,N
958,N
959,N
961,N
962,N
963,N
963,N
962,N
964,N
963,N
966,A
964,A
964,A
963,A
963,A
966,A
968,A
965,A
963,A
961,A
963,A
965,A
966,A
968,A
970,A
969,A
969,A
970,A
974,A
974,A
973,A
979,A
980,A
983,A
984,A
983,A
981,A
978,A
980,A
979,A
979,A
979,A
978,A
977,A
976,A
977,A
980,A
982,A
983,A
975,A
967,A
967,A
964,A
962,A
958,A
958,A
959,A
961,A
960,A
961,A
959,A
956,A
955,A
956,A
956,A
954,A
955,A
953,A
958,A
957,A
958,A
960,A
955,A
953,A
956,N
958,N
959,N
958,N
954,N
951,N
952,N
948,N
939,N
935,N
929,N
922,N
917,N
923,N
941,N
964,N
992,N
1021,N
1071,N
1122,N
1168,N
1199,N
1212,N
1205,N
1175,N
1122,N
1057,N
1002,N
970,N
946,N
934,N
929,N
933,N
939,N
946,N
946,N
947,N
946,N
948,N
948,N
948,N
945,N
947,N
947,N
947,N
949,N
945,N
942,N
942,N
944,N
945,N
946,N
943,N
945,N
947,N
949,N
946,N
946,N
943,N
942,N
942,N
946,N
946,N
945,N
943,N
941,N
944,N
942,N
943,N
942,N
941,N
942,N
944,N
944,N
945,N
946,N
943,N
942,N
946,N
946,N
947,N
947,N
942,N
943,N
945,N
946,N
949,N
946,N
945,N
942,N
944,N
946,N
946,N
947,N
943,N
941,N
941,N
944,N
945,N
943,N
941,N
940,N
940,A
942,A
941,A
939,A
940,A
937,A
938,A
938,A
940,A
938,A
934,A
933,A
934,A
937,A
935,A
934,A
933,A
930,A
932,A
933,A
934,A
933,A
930,A
929,A
932,A
934,A
935,A
936,A
937,A
936,A
942,A
945,A
950,A
951,A
952,A
951,A
956,A
959,A
961,A
960,A
958,A
958,A
960,A
962,A
964,A
964,A
960,A
960,A
961,A
963,A
963,A
965,N
960,N
958,N
963,V
962,V
964,V
964,V
960,V
959,V
962,V
963,V
961,V
963,V
961,V
961,V
962,V
965,V
966,A
963,A
962,A
960,A
961,A
964,A
961,A
961,A
961,A
958,A
961,A
960,A
961,V
959,V
957,V
956,V
957,V
957,V
958,V
959,V
955,V
954,V
955,V
957,V
958,V
958,V
955,V
955,V
955,V
960,V
958,N
957,N
956,N
953,N
957,N
958,N
958,N
957,N
953,N
952,N
953,N
954,N
956,N
955,N
955,N
955,N
955,N
958,N
958,N
957,N
955,N
954,N
954,N
956,N
958,A
955,A
955,A
953,A
954,A
956,A
958,A
956,A
956,A
956,A
958,A
957,A
958,A
957,A
955,A
955,A
956,A
958,A
961,A
965,A
964,A
965,A
967,A
969,A
971,A
971,A
971,A
973,A
974,A
976,A
979,A
981,A
976,A
975,A
976,A
975,A
977,A
975,A
974,A
969,A
969,A
971,A
974,A
979,A
980,A
978,A
971,A
970,A
968,A
967,A
963,A
960,A
956,A
958,A
957,A
957,A
953,A
950,A
952,A
955,A
954,A
953,A
951,A
949,A
948,A
950,A
951,A
951,A
948,N
947,N
948,N
949,N
953,N
950,N
946,N
943,N
942,N
937,N
